Name,ID,Height,Weight,Position,Height_inches,Archetype
Josh Okogie,1629006,6-4,213.0,Guard,76,Guard
Xavier Silas,202918,6-5,205.0,Guard,77,Guard
Monti Davis,76520,6-7,205.0,Forward,79,Forward
Trey Lyles,1626168,6-9,234.0,Forward,81,Forward
Kenny Williams,78555,6-9,205.0,Forward,81,Forward
Justin Patton,1628383,6-11,241.0,Center,83,Center
Fred Sheffield,78131,6-2,165.0,Forward,74,Forward
Isaiah Mobley,1630600,6-8,238.0,Forward,80,Forward
Justise Winslow,1626159,6-6,222.0,Forward-Guard,78,Guard
Paul Silas,78151,6-7,220.0,Forward,79,Forward
Paul Watson,1628778,6-6,210.0,Guard,78,Guard
Sean Elliott,251,6-8,220.0,Forward,80,Forward
Monté Morris,1628420,6-2,183.0,Guard,74,Guard
John O'Boyle,77742,6-2,185.0,Guard,74,Guard
Shareef Abdur-Rahim,949,6-9,245.0,Forward,81,Forward
Josh Akognon,203006,5-11,185.0,Guard,71,Guard
Rodrick Rhodes,1518,6-6,225.0,Guard,78,Guard
Vlatko Čančar,1628427,6-8,236.0,Forward,80,Forward
Filip Petrusev,1630196,6-11,225.0,Center,83,Center
Jim Tucker,78374,6-7,185.0,Forward,79,Forward
Bill Ebben,76633,6-4,190.0,Guard,76,Guard
Killian Tillie,1629681,6-9,220.0,Forward-Center,81,Forward
Joey Graham,101121,6-7,230.0,Forward,79,Forward
Brian Roberts,203148,6-1,173.0,Guard,73,Guard
Samaki Walker,955,6-9,260.0,Forward,81,Forward
Alex Garcia,2682,6-3,195.0,Guard-Forward,75,Guard
Ron Harper Jr.,1631199,6-4,233.0,Guard-Forward,76,Guard
Jamil Wilson,203966,6-7,229.0,Forward,79,Forward
Ricky Davis,1729,6-7,195.0,Guard,79,Guard
Marvin Barnes,76104,6-9,210.0,Forward,81,Forward
Ray Epps,76678,6-6,195.0,Forward,78,Forward
Mark Madsen,2058,6-9,255.0,Forward,81,Forward
Ronnie Price,101179,6-2,190.0,Guard,74,Guard
Jared Dudley,201162,6-6,237.0,Forward,78,Forward
Reggie Perry,1629617,6-8,250.0,Forward-Center,80,Forward
Shelton Jones,2652,6-8,210.0,Forward,80,Forward
Mark Price,899,6-0,180.0,Guard,72,Guard
Greg Dreiling,1068,7-1,265.0,Center,85,Center
Tyler Ulis,1627755,5-10,160.0,Guard,70,Guard
Luc Mbah a Moute,201601,6-8,230.0,Forward,80,Forward
Dillon Brooks,1628415,6-6,225.0,Guard-Forward,78,Guard
Jazian Gortman,1641789,6-2,184.0,Guard,74,Guard
John Edwards,2823,7-0,275.0,Center,84,Center
Nick Shaback,78118,5-11,180.0,Guard,71,Guard
Buck Johnson,77130,6-7,190.0,Forward,79,Forward
Jacque Vaughn,1521,6-1,190.0,Guard,73,Guard
Brian Scalabrine,2243,6-9,235.0,Forward,81,Forward
Oliver Lafayette,201802,6-2,190.0,Guard,74,Guard
Bob Davies,76514,6-1,175.0,Guard,73,Guard
Howie Montgomery,77630,6-4,220.0,Forward,76,Forward
Lester Hudson,201991,6-3,190.0,Guard,75,Guard
Lucious Harris,446,6-5,205.0,Guard,77,Guard
John Duren,76619,6-3,195.0,Guard,75,Guard
Bernard Robinson,2774,6-6,210.0,Guard-Forward,78,Guard
Darius Miller,203121,6-6,225.0,Forward,78,Forward
Tracy Murray,145,6-7,230.0,Forward,79,Forward
Matt Wenstrom,78492,7-1,250.0,Center,85,Center
Jack Marin,77463,6-6,200.0,Forward,78,Forward
Keita Bates-Diop,1628966,6-8,229.0,Forward,80,Forward
Bo Kimble,77260,6-4,190.0,Guard,76,Guard
Si Green,76877,6-2,185.0,Guard,74,Guard
Mario Chalmers,201596,6-2,190.0,Guard,74,Guard
Lanard Copeland,76448,6-6,190.0,Forward,78,Forward
Daniel Anderson,76036,6-2,185.0,Guard,74,Guard
Alex Poythress,1627816,6-9,235.0,Forward,81,Forward
Lloyd Walton,78449,6-0,160.0,Guard,72,Guard
Dino Radja,129,6-11,225.0,Center,83,Center
David Burns,76307,6-2,180.0,Guard,74,Guard
B.J. Armstrong,769,6-2,185.0,Guard,74,Guard
Alex Blackwell,76180,6-6,250.0,Forward,78,Forward
Thomas Barr,76113,6-4,195.0,Guard,76,Guard
Reggie Harding,76945,7-0,249.0,Center,84,Center
Cassius Winston,1630216,6-1,185.0,Guard,73,Guard
Joe Bryant,76290,6-10,185.0,Forward,82,Forward
Tyrone Hill,238,6-9,250.0,Forward,81,Forward
Jackson Vroman,2761,6-10,220.0,Forward-Center,82,Forward
MarJon Beauchamp,1630699,6-7,199.0,Forward,79,Forward
Reggie Jackson,202704,6-2,208.0,Guard,74,Guard
Daniel Ochefu,1627849,6-11,245.0,Forward,83,Forward
Tom Stith,78260,6-5,210.0,Forward,77,Forward
Johnny Moore,77633,6-1,175.0,Guard,73,Guard
Michael Holton,77047,6-4,185.0,Guard,76,Guard
Santi Aldama,1630583,7-0,215.0,Forward-Center,84,Forward
Jahidi White,1751,6-9,290.0,Center-Forward,81,Center
Torgeir Bryn,76292,6-9,250.0,Forward,81,Forward
Thurl Bailey,1847,6-11,247.0,Forward,83,Forward
Cliff Hagan,76912,6-4,210.0,Forward,76,Forward
Donald Smith,78185,6-2,190.0,Forward,74,Forward
John Stockton,304,6-1,175.0,Guard,73,Guard
Jonathan Kerner,1801,6-11,245.0,Center,83,Center
Belus Smawley,78176,6-1,195.0,Guard,73,Guard
Perry Warbington,78454,6-2,165.0,Guard,74,Guard
Rickey Brown,76283,6-10,215.0,Center,82,Center
Trey Burke,203504,6-0,185.0,Guard,72,Guard
Jeff Sanders,1874,6-8,225.0,Forward,80,Forward
Joe Hutton,77090,6-1,170.0,Guard,73,Guard
Markieff Morris,202693,6-9,245.0,Forward,81,Forward
Benoit Benjamin,104,7-0,250.0,Center,84,Center
Nate Driggers,1041,6-5,215.0,Guard-Forward,77,Guard
Sam Pellom,77829,6-9,225.0,Forward,81,Forward
Bob Santini,78061,6-5,190.0,Forward,77,Forward
Greg Brown III,1630535,6-7,206.0,Forward,79,Forward
Gene Stump,78275,6-2,185.0,Forward,74,Forward
Otis Birdsong,76170,6-3,190.0,Guard,75,Guard
Jim Walsh,78446,6-4,195.0,Forward,76,Forward
Jim Palmer,77792,6-8,224.0,Forward,80,Forward
Othella Harrington,970,6-9,235.0,Forward-Center,81,Forward
Devontae Cacok,1629719,6-7,240.0,Forward,79,Forward
Ken Norman,80,6-8,215.0,Forward,80,Forward
Ekpe Udoh,202327,6-10,245.0,Center-Forward,82,Center
Thaddeus Young,201152,6-8,225.0,Forward,80,Forward
David Robinson,764,7-1,250.0,Center,85,Center
Rodney Monroe,77628,6-3,185.0,Guard,75,Guard
Ed Pinckney,291,6-9,240.0,Forward,81,Forward
Yante Maten,1628999,6-8,240.0,Forward,80,Forward
Ralph Jackson,77107,6-2,190.0,Guard,74,Guard
Ivan McFarlin,200829,6-7,229.0,Forward,79,Forward
Jackson Rowe,1642050,6-7,210.0,Forward,79,Forward
Jack Turner,78380,6-4,170.0,Guard,76,Guard
Udoka Azubuike,1628962,6-11,270.0,Center-Forward,83,Center
Chad Kinch,77262,6-4,190.0,Guard,76,Guard
Jason Williams,1715,6-1,180.0,Guard,73,Guard
Willie Jones,77203,6-8,190.0,Forward,80,Forward
Jerry Paulson,77816,6-2,185.0,Guard,74,Guard
Dan Schayes,7,6-11,260.0,Center,83,Center
Francis Mahoney,77444,6-2,205.0,Forward,74,Forward
Perry Jones III,203103,6-11,235.0,Forward,83,Forward
Larry Nance Jr.,1626204,6-8,245.0,Forward-Center,80,Forward
Kevin Loder,77401,6-6,205.0,Forward,78,Forward
Dennis Nutt,77738,6-2,170.0,Guard,74,Guard
Ron Carter,76361,6-5,190.0,Guard,77,Guard
Jared Reiner,2876,6-11,255.0,Center,83,Center
Jerome Beasley,2602,6-9,237.0,Forward,81,Forward
Frank Russell,78046,6-3,180.0,Guard,75,Guard
Jeff Green,201145,6-8,235.0,Forward,80,Forward
Andy Duncan,76615,6-6,195.0,Forward,78,Forward
Jack Cotton,76456,6-7,200.0,Forward,79,Forward
Larry Hennessy,76998,6-3,185.0,Guard,75,Guard
Cozell McQueen,77565,6-11,235.0,Forward,83,Forward
Peja Stojakovic,978,6-10,229.0,Forward,82,Forward
Nathan Mensah,1641877,6-9,230.0,Center,81,Center
Jermareo Davidson,201176,6-10,230.0,Forward,82,Forward
Ricky Wilson,78584,6-3,195.0,Guard,75,Guard
KJ Simpson,1642354,6-0,189.0,Guard,72,Guard
Chandler Parsons,202718,6-9,230.0,Forward,81,Forward
Rob Kurz,201633,6-9,232.0,Forward,81,Forward
Lee Mayberry,195,6-1,172.0,Guard,73,Guard
Paul Long,77406,6-2,180.0,Guard,74,Guard
Jerry Bird,76168,6-6,210.0,Forward,78,Forward
Terry Taylor,1630678,6-4,230.0,Forward,76,Forward
Cedric Jackson,202132,6-3,190.0,Guard,75,Guard
Karim Mane,1630211,6-3,190.0,Guard,75,Guard
Darren Collison,201954,6-0,160.0,Guard,72,Guard
Hal Lear,77352,5-11,163.0,Guard,71,Guard
Dick Bunt,76301,6-0,170.0,Guard,72,Guard
Jameer Nelson,2749,6-0,190.0,Guard,72,Guard
Tristan Thompson,202684,6-9,254.0,Center-Forward,81,Center
Herm Schaefer,78071,6-0,175.0,Guard,72,Guard
Jimmy Collins,76419,6-2,175.0,Guard,74,Guard
Gary Voce,78419,6-9,240.0,Forward,81,Forward
Mo Martin,77476,6-6,200.0,Guard,78,Guard
A.J. Lawson,1630639,6-6,179.0,Guard,78,Guard
Grant Long,3,6-9,240.0,Forward,81,Forward
Alvin Robertson,926,6-4,208.0,Guard,76,Guard
Doc Rivers,470,6-4,210.0,Guard,76,Guard
Anthony Bowie,194,6-6,200.0,Guard,78,Guard
Hank Lefkowitz,77367,6-2,190.0,Forward,74,Forward
Alvin Holt,77046,6-7,210.0,Forward,79,Forward
Darnell Mee,1577,6-5,175.0,Guard,77,Guard
Rod Derline,76559,6-0,175.0,Guard,72,Guard
Kevon Harris,1630284,6-5,216.0,Guard,77,Guard
Doug Roth,78021,6-11,255.0,Forward,83,Forward
Patrick McCaw,1627775,6-7,181.0,Guard,79,Guard
Estes Parham,77797,6-3,200.0,Forward,75,Forward
Ryan Arcidiacono,1627853,6-3,195.0,Guard,75,Guard
Art Spector,78226,6-4,200.0,Forward,76,Forward
Richard Morton,77652,6-3,190.0,Forward,75,Forward
Stojko Vrankovic,1037,7-2,260.0,Center,86,Center
Jack Maddox,77439,6-2,185.0,Forward,74,Forward
Willy Hernangomez,1626195,6-11,250.0,Center-Forward,83,Center
Jeff Ruland,78041,6-10,240.0,Center,82,Center
Jack Dwan,76624,6-4,200.0,Forward,76,Forward
Cleanthony Early,203921,6-8,210.0,Forward,80,Forward
John Barber,76096,6-6,210.0,Forward,78,Forward
Jeremy Richardson,200978,6-7,195.0,Guard-Forward,79,Guard
Jeff Wilkins,78537,6-10,230.0,Center,82,Center
Travis Best,696,5-11,182.0,Guard,71,Guard
Jonathan Isaac,1628371,6-10,230.0,Forward,82,Forward
Dexter Cambridge,76337,6-7,224.0,Forward,79,Forward
Ralph Simpson,78157,6-5,200.0,Guard,77,Guard
John Williams,78554,6-8,235.0,Forward,80,Forward
Jeff Webb,78477,6-4,170.0,Guard,76,Guard
Troy Caupain,1628505,6-4,210.0,Guard,76,Guard
John Fairchild,76691,6-7,205.0,Forward,79,Forward
David Johnson,1630525,6-4,203.0,Guard,76,Guard
James Harden,201935,6-5,220.0,Guard,77,Guard
Myles Powell,1629619,6-2,195.0,Guard,74,Guard
Hal Crisler,76470,6-3,215.0,Forward,75,Forward
Damion James,202345,6-7,225.0,Forward,79,Forward
Jaron Blossomgame,1628417,6-8,220.0,Forward,80,Forward
Joe Kennedy,77244,6-6,210.0,Forward,78,Forward
Cedric Simmons,200759,6-9,235.0,Forward,81,Forward
Ed Burton,76314,6-6,225.0,Forward,78,Forward
Chet Carlisle,76341,6-5,195.0,Forward,77,Forward
Doug Sims,78159,6-7,195.0,Forward,79,Forward
Tom Boerwinkle,76192,7-0,265.0,Center,84,Center
Steve Courtin,76459,6-1,188.0,Guard,73,Guard
Ed Bartels,76117,6-6,195.0,Forward,78,Forward
Emanuel Terry,1629150,6-9,220.0,Forward,81,Forward
Don Hanrahan,76938,6-7,200.0,Forward,79,Forward
Matt Guokas,76908,6-6,175.0,Guard,78,Guard
Chris Quinn,200809,6-2,175.0,Guard,74,Guard
Bobby Jones,200784,6-7,215.0,Forward,79,Forward
Clifford Rozier,32,6-11,245.0,Center,83,Center
Chance Comanche,1628435,6-10,210.0,Center,82,Center
Mickael Pietrus,2554,6-6,215.0,Forward,78,Forward
Arlen Bockhorn,76191,6-4,200.0,Guard,76,Guard
Caron Butler,2406,6-7,228.0,Forward,79,Forward
Dario Šarić,203967,6-10,225.0,Forward-Center,82,Forward
Jaden McDaniels,1630183,6-9,185.0,Forward,81,Forward
Lawrence Roberts,101160,6-9,240.0,Forward,81,Forward
Wayne Kreklow,77312,6-4,175.0,Guard,76,Guard
Karlo Matković,1631255,6-10,231.0,Forward-Center,82,Forward
Stacey King,351,6-11,250.0,Forward-Center,83,Forward
Leroy Combs,76425,6-8,210.0,Forward,80,Forward
JR Smith,2747,6-6,220.0,Guard,78,Guard
Cheick Diallo,1627767,6-8,219.0,Forward-Center,80,Forward
Matt Steigenga,1099,6-7,225.0,Forward,79,Forward
Lester Conner,76431,6-4,180.0,Guard,76,Guard
Richard Dumas,30,6-7,225.0,Forward,79,Forward
D'Moi Hodge,1641793,6-3,188.0,Guard,75,Guard
Bernard Toone,78356,6-9,210.0,Forward,81,Forward
Wayne Ellington,201961,6-4,207.0,Guard,76,Guard
Antonio Harvey,176,6-11,250.0,Forward-Center,83,Forward
Daniel Ewing,101137,6-3,185.0,Guard,75,Guard
Cornell Warner,78460,6-9,220.0,Forward,81,Forward
Deividas Sirvydis,1629686,6-8,190.0,Forward-Guard,80,Guard
Robert Zawoluk,78639,6-7,215.0,Forward,79,Forward
Jordan McLaughlin,1629162,6-0,185.0,Guard,72,Guard
Al Lujack,77423,6-3,220.0,Forward,75,Forward
Khris Middleton,203114,6-7,222.0,Forward,79,Forward
Bruce Douglas,76588,6-3,195.0,Guard,75,Guard
Gail Goodrich,76832,6-1,170.0,Guard,73,Guard
Al Ferrari,76708,6-4,190.0,Guard,76,Guard
Kostas Papanikolaou,203123,6-8,235.0,Forward,80,Forward
Zaccharie Risacher,1642258,6-8,200.0,Forward,80,Forward
Ben Moore,1628500,6-8,220.0,Forward,80,Forward
Jonathan Mogbo,1642367,6-9,225.0,Forward,81,Forward
Alvan Adams,76011,6-9,210.0,Center,81,Center
Maurice Ager,200772,6-5,202.0,Forward-Guard,77,Guard
Pops Mensah-Bonsu,200822,6-9,235.0,Forward,81,Forward
Hanno Mottola,2069,6-11,247.0,Center-Forward,83,Center
Ervin Johnson,911,6-11,245.0,Center,83,Center
Danny Fortson,1504,6-8,260.0,Center-Forward,80,Center
Justin Lewis,1631171,6-7,245.0,Forward,79,Forward
David Noel,200786,6-6,230.0,Forward-Guard,78,Guard
Terry Thomas,78322,6-8,220.0,Forward,80,Forward
Mike James,1628455,6-1,175.0,Guard,73,Guard
Bob Brown,76284,6-4,205.0,Forward,76,Forward
Greg Oden,201141,7-0,273.0,Center,84,Center
Hassani Gravett,1629755,6-2,187.0,Guard,74,Guard
Jeryl Sasser,2219,6-6,200.0,Guard,78,Guard
Jon Sundvold,78279,6-2,170.0,Guard,74,Guard
Kyle Anderson,203937,6-9,230.0,Forward-Guard,81,Guard
Devin Brown,2484,6-5,210.0,Guard,77,Guard
Kyle Singler,202713,6-8,228.0,Forward,80,Forward
Jamal Shead,1642347,6-1,200.0,Guard,73,Guard
Rayan Rupert,1641712,6-6,195.0,Guard-Forward,78,Guard
Amar'e Stoudemire,2405,6-10,245.0,Forward-Center,82,Forward
Rik Smits,22,7-4,265.0,Center,88,Center
Glenn Mosley,77653,6-8,195.0,Forward,80,Forward
Goebel Ritter,77968,6-2,185.0,Guard,74,Guard
Henry Dickerson,76563,6-4,190.0,Guard,76,Guard
Len Kosmalski,77302,6-11,245.0,Center,83,Center
Joel Embiid,203954,7-0,280.0,Center-Forward,84,Center
Vasilije Micić,203995,6-3,188.0,Guard,75,Guard
Francisco Elson,1922,7-0,240.0,Center-Forward,84,Center
Joe Cooke,76440,6-3,175.0,Guard,75,Guard
Sasha Vujacic,2756,6-7,195.0,Guard,79,Guard
Bryn Forbes,1627854,6-2,205.0,Guard,74,Guard
Darren Daye,76543,6-8,220.0,Forward,80,Forward
Gary Neal,202390,6-4,210.0,Guard,76,Guard
Jack Nichols,77713,6-7,222.0,Center,79,Center
Bob Kinney,77277,6-6,215.0,Center,78,Center
Aaron Wiggins,1630598,6-5,190.0,Guard,77,Guard
Kosta Perovic,200785,7-2,240.0,Center,86,Center
Jack Parr,77802,6-9,220.0,Center,81,Center
Sekou Doumbouya,1629635,6-9,230.0,Forward,81,Forward
Corey Gaines,76770,6-3,195.0,Guard,75,Guard
Cole Swider,1631306,6-8,220.0,Forward,80,Forward
Mitchell Creek,1628249,6-6,225.0,Forward-Guard,78,Guard
Jabari Parker,203953,6-7,245.0,Forward,79,Forward
Kenny Walker,78440,6-8,210.0,Forward,80,Forward
Dmytro Skapintsev,1631376,7-1,215.0,Center,85,Center
Chris Dudley,201,6-11,260.0,Center,83,Center
Mike Ratliff,77915,6-10,230.0,Center,82,Center
Bob Elliott,76656,6-9,225.0,Center,81,Center
Ronnie MacGilvray,77430,6-2,185.0,Guard,74,Guard
Andy Phillip,77853,6-3,195.0,Guard,75,Guard
Donald Ackerman,76008,6-0,183.0,Guard,72,Guard
Elston Turner,78378,6-5,190.0,Guard,77,Guard
Dave Fedor,76697,6-6,190.0,Forward,78,Forward
Herm Hedderick,76986,6-5,170.0,Guard,77,Guard
Dick Schnittker,78086,6-5,200.0,Forward,77,Forward
Joel Kramer,77308,6-7,203.0,Forward,79,Forward
Ken Johnson,2256,6-10,240.0,Center-Forward,82,Center
Vern Hatton,76969,6-3,195.0,Guard,75,Guard
Devin Harris,2734,6-3,185.0,Guard,75,Guard
Bob Verga,78413,6-1,190.0,Guard,73,Guard
Steve Bucknall,76294,6-6,215.0,Forward,78,Forward
Al Bianchi,76160,6-3,185.0,Guard,75,Guard
Abdul Jeelani,77126,6-8,210.0,Forward,80,Forward
Brooks Thompson,240,6-4,193.0,Guard,76,Guard
Patty Mills,201988,6-2,180.0,Guard,74,Guard
Obinna Ekezie,1918,6-9,270.0,Center,81,Center
Fred VanVleet,1627832,6-0,197.0,Guard,72,Guard
Dan Kraus,77309,6-0,195.0,Guard,72,Guard
Rickey Williams,78563,6-1,175.0,Guard,73,Guard
Kenny Payne,77822,6-8,195.0,Forward,80,Forward
Ersan Ilyasova,101141,6-9,235.0,Forward,81,Forward
Corey Beck,1133,6-3,200.0,Guard,75,Guard
Stephane Lasme,201186,6-8,215.0,Forward,80,Forward
Ralph Ogden,77748,6-5,205.0,Forward,77,Forward
Toure' Murry,203315,6-5,195.0,Forward,77,Forward
Ralph Polson,77868,6-7,200.0,Forward,79,Forward
Duncan Robinson,1629130,6-7,215.0,Forward,79,Forward
Nemanja Nedovic,203517,6-3,192.0,Guard,75,Guard
Marty Passaglia,77806,6-0,170.0,Guard,72,Guard
Keith Starr,78243,6-6,190.0,Guard,78,Guard
JaJuan Johnson,202707,6-10,221.0,Forward,82,Forward
Paul Zipser,1627835,6-8,226.0,Forward,80,Forward
Jack Molinas,77624,6-6,200.0,Forward,78,Forward
Norm Grekin,76886,6-5,180.0,Forward,77,Forward
Gary Gray,76859,6-1,185.0,Guard,73,Guard
Frank Saul,78063,6-2,185.0,Guard,74,Guard
Marcelo Huertas,1626273,6-3,200.0,Guard,75,Guard
Ryan Anderson,201583,6-9,240.0,Forward,81,Forward
Michael Finley,714,6-7,225.0,Guard-Forward,79,Guard
Saben Lee,1630240,6-2,183.0,Guard,74,Guard
Ernie DiGregorio,76568,6-0,180.0,Guard,72,Guard
Greg Lee,77360,6-3,190.0,Guard,75,Guard
Michael Adams,149,5-10,165.0,Guard,70,Guard
Don Buse,76317,6-4,190.0,Guard,76,Guard
Nate Thurmond,600001,6-11,225.0,Center,83,Center
Malik Rose,990,6-7,255.0,Forward,79,Forward
Jared Sullinger,203096,6-9,260.0,Center-Forward,81,Center
Vinnie Johnson,77167,6-2,200.0,Guard,74,Guard
Matas Buzelis,1641824,6-10,209.0,Forward,82,Forward
Sergei Bazarevich,76128,6-2,168.0,Guard,74,Guard
Jorge Garbajosa,200816,6-9,245.0,Forward,81,Forward
John Mills,77606,6-8,203.0,Center,80,Center
Julius Randle,203944,6-9,250.0,Forward-Center,81,Forward
Bob Feerick,76698,6-3,190.0,Guard,75,Guard
Carl Meinhold,77574,6-2,185.0,Guard,74,Guard
Lynn Greer,2696,6-2,175.0,Guard,74,Guard
Bob Weiss,78485,6-3,180.0,Guard,75,Guard
Tracy McGrady,1503,6-8,225.0,Guard-Forward,80,Guard
Josh Magette,203705,6-1,160.0,Guard,73,Guard
Bob Hahn,76914,6-10,240.0,Center,82,Center
Isaac Humphries,1629353,7-0,260.0,Center,84,Center
Damon Stoudamire,757,5-10,171.0,Guard,70,Guard
Oscar Robertson,600015,6-5,205.0,Guard,77,Guard
Randy Wittman,1456,6-6,210.0,Guard,78,Guard
Jim Spruill,78235,6-2,225.0,Forward,74,Forward
Gerald Fitch,2809,6-3,188.0,Guard,75,Guard
Marcus Landry,202068,6-7,230.0,Forward,79,Forward
Spencer Dinwiddie,203915,6-5,215.0,Guard,77,Guard
George Carter,76357,6-4,210.0,Forward,76,Forward
Jim Johnstone,77171,6-11,245.0,Center,83,Center
Michael Carter-Williams,203487,6-5,190.0,Guard,77,Guard
Earl Clark,201947,6-10,234.0,Forward,82,Forward
